partner,partner_iso,subregions,int_region
Argentina,ARG,Latin America and the Caribbean,South America
Bahamas,BHS,Latin America and the Caribbean,Caribbean
Barbados,BRB,Latin America and the Caribbean,Caribbean
Belize,BLZ,Latin America and the Caribbean,Central America
Bolivia,BOL,Latin America and the Caribbean,South America
Brazil,BRA,Latin America and the Caribbean,South America
Chile,CHL,Latin America and the Caribbean,South America
Colombia,COL,Latin America and the Caribbean,South America
Costa Rica,CRI,Latin America and the Caribbean,Central America
Cuba,CUB,Latin America and the Caribbean,Caribbean
Dominica,DMA,Latin America and the Caribbean,Caribbean
Dominican Republic,DOM,Latin America and the Caribbean,Caribbean
Ecuador,ECU,Latin America and the Caribbean,South America
El Salvador,SLV,Latin America and the Caribbean,Central America
Grenada,GRD,Latin America and the Caribbean,Caribbean
Guyana,GUY,Latin America and the Caribbean,South America
Haiti,HTI,Latin America and the Caribbean,Caribbean
Honduras,HND,Latin America and the Caribbean,Central America
Jamaica,JAM,Latin America and the Caribbean,Caribbean
Mexico,MEX,Latin America and the Caribbean,Central America
Nicaragua,NIC,Latin America and the Caribbean,Central America
Panama,PAN,Latin America and the Caribbean,Central America
Paraguay,PRY,Latin America and the Caribbean,South America
Peru,PER,Latin America and the Caribbean,South America
Saint Lucia,LCA,Latin America and the Caribbean,Caribbean
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Caribbean
Suriname,SUR,Latin America and the Caribbean,South America
Trinidad and Tobago,TTO,Latin America and the Caribbean,Caribbean
Uruguay,URY,Latin America and the Caribbean,South America
